"ECO_ID","ECO_NAME","BIOME_NAME","REALM"
112,"East African mangroves","Mangroves","Afrotropic"
8,"East African montane forests","Tropical & Subtropical Moist Broadleaf Forests","Afrotropic"
78,"East African montane moorlands","Montane Grasslands & Shrublands","Afrotropic"
821,"East Arabian fog shrublands and sand desert","Deserts & Xeric Shrublands","Palearctic"
332,"East Central Texas forests","Temperate Broadleaf & Mixed Forests","Nearctic"
293,"East Deccan dry-evergreen forests","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan"
228,"East Deccan moist deciduous forests","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan"
661,"East European forest steppe","Temperate Broadleaf & Mixed Forests","Palearctic"
822,"East Sahara Desert","Deserts & Xeric Shrublands","Palearctic"
823,"East Saharan montane xeric woodlands","Deserts & Xeric Shrublands","Palearctic"
710,"East Siberian taiga","Boreal Forests/Taiga","Palearctic"
43,"East Sudanian savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Afrotropic"
662,"Eastern Anatolian deciduous forests","Temperate Broadleaf & Mixed Forests","Palearctic"
727,"Eastern Anatolian montane steppe","Temperate Grasslands, Savannas & Shrublands","Palearctic"
9,"Eastern Arc forests","Tropical & Subtropical Moist Broadleaf Forests","Afrotropic"
191,"Eastern Australia mulga shrublands","Temperate Grasslands, Savannas & Shrublands","Australasia"
168,"Eastern Australian temperate forests","Temperate Broadleaf & Mixed Forests","Australasia"
333,"Eastern Canadian Forest-Boreal transition","Temperate Broadleaf & Mixed Forests","Nearctic"
374,"Eastern Canadian Shield taiga","Boreal Forests/Taiga","Nearctic"
373,"Eastern Canadian forests","Boreal Forests/Taiga","Nearctic"
354,"Eastern Cascades forests","Temperate Conifer Forests","Nearctic"
10,"Eastern Congolian swamp forests","Tropical & Subtropical Moist Broadleaf Forests","Afrotropic"
460,"Eastern Cordillera Real montane forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
824,"Eastern Gobi desert steppe","Deserts & Xeric Shrublands","Palearctic"
334,"Eastern Great Lakes lowland forests","Temperate Broadleaf & Mixed Forests","Nearctic"
11,"Eastern Guinean forests","Tropical & Subtropical Moist Broadleaf Forests","Afrotropic"
751,"Eastern Himalayan alpine shrub and meadows","Montane Grasslands & Shrublands","Palearctic"
306,"Eastern Himalayan broadleaf forests","Temperate Broadleaf & Mixed Forests","Indomalayan"
309,"Eastern Himalayan subalpine conifer forests","Temperate Conifer Forests","Indomalayan"
229,"Eastern Java-Bali montane rain forests","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan"
230,"Eastern Java-Bali rain forests","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan"
791,"Eastern Mediterranean conifer-broadleaf forests","Mediterranean Forests, Woodlands & Scrub","Palearctic"
461,"Eastern Panamanian montane forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
531,"Ecuadorian dry forests","Tropical & Subtropical Dry Broadleaf Forests","Neotropic"
391,"Edwards Plateau savanna","Temperate Grasslands, Savannas & Shrublands","Nearctic"
185,"Einasleigh upland savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia"
695,"Elburz Range forest steppe","Temperate Conifer Forests","Palearctic"
728,"Emin Valley steppe","Temperate Grasslands, Savannas & Shrublands","Palearctic"
663,"English Lowlands beech forests","Temperate Broadleaf & Mixed Forests","Palearctic"
93,"Eritrean coastal desert","Deserts & Xeric Shrublands","Afrotropic"
198,"Esperance mallee","Mediterranean Forests, Woodlands & Scrub","Australasia"
575,"Espinal","Temperate Grasslands, Savannas & Shrublands","Neotropic"
12,"Ethiopian montane forests","Tropical & Subtropical Moist Broadleaf Forests","Afrotropic"
79,"Ethiopian montane grasslands and woodlands","Montane Grasslands & Shrublands","Afrotropic"
80,"Ethiopian montane moorlands","Montane Grasslands & Shrublands","Afrotropic"
